Date,Open,High,Low,Close,Volume,,,,,,,,,,,,,,,,,,,,
2011. 4. 11 오후 3:30:00,2127.2,2135.33,2115.89,2122.39,316066,,,,,,,,,,,,,,,,,,,,
2011. 4. 12 오후 3:30:00,2117.21,2117.21,2088.67,2089.4,311138,,,,,,,,,,,,,,,,,,,,
2011. 4. 13 오후 3:30:00,2091.68,2121.93,2081.98,2121.92,348085,,,,,,,,,,,,,,,,,,,,
2011. 4. 14 오후 3:30:00,2116.49,2141.07,2109.63,2141.06,371732,,,,,,,,,,,,,,,,,,,,
2011. 4. 15 오후 3:30:00,2136.27,2142.71,2126.59,2140.5,356652,,,,,,,,,,,,,,,,,,,,
2011. 4. 18 오후 3:30:00,2146.83,2149.45,2128.02,2137.72,358280,,,,,,,,,,,,,,,,,,,,
2011. 4. 19 오후 3:30:00,2117.94,2136.95,2111.6,2122.68,375025,,,,,,,,,,,,,,,,,,,,
2011. 4. 20 오후 3:30:00,2146.38,2169.94,2138.8,2169.91,374320,,,,,,,,,,,,,,,,,,,,
2011. 4. 21 오후 3:30:00,2190.64,2211.36,2183.52,2198.54,415979,,,,,,,,,,,,,,,,,,,,
2011. 4. 22 오후 3:30:00,2203.04,2208.06,2190.87,2197.82,390812,,,,,,,,,,,,,,,,,,,,
2011. 4. 25 오후 3:30:00,2205.2,2218.07,2199.27,2216,354021,,,,,,,,,,,,,,,,,,,,
2011. 4. 26 오후 3:30:00,2219.47,2222.56,2196.76,2206.3,439336,,,,,,,,,,,,,,,,,,,,
2011. 4. 27 오후 3:30:00,2225.95,2231.47,2191.82,2206.7,423197,,,,,,,,,,,,,,,,,,,,
2011. 4. 28 오후 3:30:00,2215.42,2225.35,2194.15,2208.35,354849,,,,,,,,,,,,,,,,,,,,
2011. 4. 29 오후 3:30:00,2211.33,2219.6,2177.8,2192.36,364121,,,,,,,,,,,,,,,,,,,,
2011. 5. 2 오후 3:30:00,2203.09,2229.09,2202.92,2228.96,302491,,,,,,,,,,,,,,,,,,,,
2011. 5. 3 오후 3:30:00,2224.4,2228.04,2188.11,2200.73,375102,,,,,,,,,,,,,,,,,,,,
2011. 5. 4 오후 3:30:00,2196.9,2201.69,2173.21,2180.64,393735,,,,,,,,,,,,,,,,,,,,
2011. 5. 6 오후 3:30:00,2153.5,2156.81,2133.97,2147.45,344194,,,,,,,,,,,,,,,,,,,,
2011. 5. 9 오후 3:30:00,2157.95,2161.93,2136.59,2139.17,253934,,,,,,,,,,,,,,,,,,,,
2011. 5. 11 오후 3:30:00,2161.44,2166.63,2144.94,2166.63,378035,,,,,,,,,,,,,,,,,,,,
2011. 5. 12 오후 3:30:00,2139.24,2149.42,2122.6,2122.65,382253,,,,,,,,,,,,,,,,,,,,
2011. 5. 13 오후 3:30:00,2133.99,2134.53,2103.06,2120.08,397072,,,,,,,,,,,,,,,,,,,,
2011. 5. 16 오후 3:30:00,2104.67,2115.25,2097.16,2104.18,273618,,,,,,,,,,,,,,,,,,,,
2011. 5. 17 오후 3:30:00,2103.82,2111.44,2092.32,2102.41,300785,,,,,,,,,,,,,,,,,,,,
2011. 5. 18 오후 3:30:00,2110.7,2138.72,2106.41,2135.78,259990,,,,,,,,,,,,,,,,,,,,
2011. 5. 19 오후 3:30:00,2141.29,2143.41,2092.61,2095.51,283358,,,,,,,,,,,,,,,,,,,,
2011. 5. 20 오후 3:30:00,2101.45,2112.48,2084.06,2111.5,282777,,,,,,,,,,,,,,,,,,,,
2011. 5. 23 오후 3:30:00,2100.44,2100.44,2055.71,2055.71,292953,,,,,,,,,,,,,,,,,,,,
